cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
440.0,25.88403594,0.9999603853606395,76634.27050461592,53062377.90336946
441.0,25.88403594,0.9999602941146183,123957.71981756446,53186335.62318702
442.0,25.88403594,0.9999602028685971,123957.71981756446,53310293.343004584
443.0,25.88403594,0.9999601116225759,123957.71981756446,53434251.06282215
444.0,25.88403594,0.9999600203765547,123957.71981756446,53558208.78263971
445.0,25.92874067,0.9999598944048181,171132.6041928969,53729341.38683261
446.0,25.97344539,0.999959768062319,171636.28505153977,53900977.67188415
447.0,25.97344539,0.9999596761791596,124823.2721095425,54025800.943993695
448.0,26.01815012,0.9999595494651147,172141.0300436883,54197941.97403739
449.0,26.01815012,0.999959457262171,125257.6990658253,54323199.67310321
450.0,26.01815012,0.9999593650592272,125257.6990658253,54448457.37216904
451.0,25.97344539,0.9999593081252272,77344.83909901125,54525802.21126805
452.0,25.92874067,0.9999592514531447,76989.0240314791,54602791.235299535
453.0,25.92874067,0.999959159888959,124389.94621285169,54727181.181512386
454.0,25.92874067,0.9999590683247733,124389.94621285169,54851571.127725236
455.0,25.92874067,0.9999589767605876,124389.94621285169,54975961.07393809
456.0,25.92874067,0.999958885196402,124389.94621285169,55100351.02015094
457.0,25.92874067,0.9999587936322163,124389.94621285169,55224740.96636379
458.0,25.88403594,0.99995873722127,76634.27050461592,55301375.236868404
459.0,25.88403594,0.9999586459752489,123957.71981756446,55425332.95668597
460.0,25.92874067,0.9999585200035123,171132.6041928969,55596465.560878865
461.0,25.97344539,0.9999583936610131,171636.28505153977,55768101.845930405
462.0,25.97344539,0.9999583017778537,124823.2721095425,55892925.11803995
463.0,26.01815012,0.9999581750638088,172141.0300436883,56065066.14808364
464.0,26.06285484,0.9999580479774645,172646.79873814236,56237712.94682179
465.0,26.06285484,0.9999579554539251,125693.2282485319,56363406.175070316
466.0,26.06285484,0.9999578629303857,125693.2282485319,56489099.403318845
467.0,26.01815012,0.9999578057336542,77701.75968596508,56566801.16300481
468.0,25.97344539,0.9999577487996542,77344.83909901125,56644146.00210382
469.0,25.92874067,0.9999576921275717,76989.0240314791,56721135.0261353
470.0,25.83933122,0.9999576718369201,27564.850181399303,56748699.876316704
471.0,25.70521704,0.9999576819582836,-15235.315594950353,56733464.560721755
